Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format
Leica,24mm f/3.8 Elmar-M Aspherical,2008,2332,260,41,57,3.8,24,0,0,0,Full-Frame
Leica,24mm f/1.4 Summilux-M Aspherical,2008,6644,500,59,61,1.4,24,0,0,0,Full-Frame
Leica,28mm f/2.8 Elmarit-M Aspherical,2008,1980,180,30,52,2.8,28,0,0,0,Full-Frame
Leica,28mm f/2 Summicron-M Aspherical (2016),2016,3995,270,40.64,53.34,2,28,0,0,0,Full-Frame
Leica,28mm f/2 Summicron-M Aspherical,2000,3779.6,271.8,40.64,53.34,2,28,0,0,0,Full-Frame
Leica,28mm f/1.4 Summilux-M Aspherical,2014,5950,440,81.28,60.96,1.4,28,0,0,0,Full-Frame
Leica,35mm f/2.5 Summarit-M,2007,1649.95,220,34,51,2.5,35,0,0,0,Full-Frame
Leica,35mm f/2.4 Summarit-M Aspherical,2014,1980,197,34,52,2.4,35,0,0,0,Full-Frame
Leica,35mm f/2 Summicron-M Aspherical,1996,2795,255,34.5,53,2,35,0,0,0,Full-Frame
Leica,35mm f/1.4 Summilux-M Aspherical,2010,4532,320,46,56,1.4,35,0,0,0,Full-Frame
Leica,50mm f/2.5 Summarit-M,2007,1369,230,33,51,2.5,50,0,0,0,Full-Frame
Leica,50mm f/2.4 Summarit-M,2014,1716,190,33,52,2.4,50,0,0,0,Full-Frame
Leica,50mm f/2 Summicron-M,1994,2068,240.09,43.18,53.34,2,50,0,0,0,Full-Frame
Leica,50mm f/2 Apo-Summicron-M Aspherical,2012,7260,300,47,53,2,50,0,0,0,Full-Frame
Leica,50mm f/1.4 Summilux-M Aspherical,2004,3515.6,335,52.5,53.5,1.4,50,0,0,0,Full-Frame
Leica,50mm f/0.95 Noctilux-M Aspherical,2008,9675.6,700,75.1,73,0.95,50,0,0,0,Full-Frame
Leica,75mm f/2.5 Summarit-M,2007,1395,345,60.5,55,2.5,75,0,0,0,Full-Frame
Leica,75mm f/2.4 Summarit-M,1996,1892,325,60.5,55,2.4,75,0,0,0,Full-Frame
Leica,75mm f/2 Apo-Summicron-M,2005,3339.6,430,67,58,2,75,0,0,0,Full-Frame
Leica,90mm f/4 Macro-Elmar,1996,3212,230,59,52,4,90,0,0,0,Full-Frame
Leica,90mm f/2.4 Summarit-M,2008,2068,346,67,55,2.4,90,0,0,0,Full-Frame
